velocity_x,acceleration_x,position_x,position_y,class
861.570759074804,-0.1504092812538147,1460424.7999192367,-5306612.687753114,hurcan
861.5460139293639,-0.2474514544010162,1460510.9545206297,-5307048.814743361,hurcan
861.5213663090435,-0.2464762032032013,1460597.1066572606,-5307484.941324049,hurcan
861.5007159535256,-0.2065035551786422,1460683.256728856,-5307921.067504897,hurcan
861.4800655980077,-0.2065035551786422,1460769.4047354157,-5308357.193285906,hurcan
861.4591248114076,-0.2094078660011291,1460855.550647897,-5308793.3198667215,hurcan
861.440377049562,-0.1874776184558868,1460941.6946856019,-5309229.446452441,hurcan
861.4159234900442,-0.2445355951786041,1461027.8362779508,-5309665.571828835,hurcan
861.393274833676,-0.2264865636825561,1461113.975605434,-5310101.696800529,hurcan
861.376429002401,-0.1684583127498626,1461200.1132483343,-5310537.822181869,hurcan
861.3557789761987,-0.2065002620220184,1461286.2488262318,-5310973.94716337,hurcan
861.3370310474602,-0.1874792873859405,1461372.3825293365,-5311410.072149775,hurcan
861.3144795839158,-0.2255146354436874,1461458.5139772948,-5311846.196331598,hurcan
861.2918305967418,-0.2264898717403412,1461544.6431603543,-5312282.320108721,hurcan
861.2731798623172,-0.1865073442459106,1461630.7704783406,-5312718.443490866,hurcan
861.2505305443374,-0.2264931797981262,1461716.895531395,-5313154.566468311,hurcan
861.2335875187484,-0.1694302558898925,1461803.0188901469,-5313590.690255283,hurcan
861.2166448224751,-0.1694269627332687,1461889.140554629,-5314026.814851784,hurcan
861.1960923213927,-0.2055250108242035,1461975.260163861,-5314462.938648564,hurcan
861.1733464677302,-0.2274585366249084,1462061.377498508,-5314899.062440525,hurcan
861.1544041473834,-0.1894232034683227,1462147.4929389227,-5315335.187037153,hurcan
861.1356563855378,-0.1874776184558868,1462233.6065045614,-5315771.311638685,hurcan
861.1130075652568,-0.2264882028102875,1462319.7178053178,-5316207.435835517,hurcan
861.0959676731793,-0.1703989207744598,1462405.827402085,-5316643.561241759,hurcan
861.0734158803193,-0.2255179286003113,1462491.934743673,-5317079.685843419,hurcan
861.0544737268655,-0.189421534538269,1462578.0401910457,-5317515.811249747,hurcan
861.0357254673211,-0.1874825954437256,1462664.1437635925,-5317951.936660978,hurcan
861.011174711999,-0.2455075532197952,1462750.2448810637,-5318388.061262767,hurcan
860.9942320157257,-0.1694269627332687,1462836.3443042652,-5318824.186674084,hurcan
860.9775349278418,-0.1669708788394928,1462922.442057758,-5319260.312495058,hurcan
860.9528287370173,-0.2470619082450867,1463008.5373406317,-5319696.438706247,hurcan
860.9261087615458,-0.2671997547149658,1463094.6299515078,-5320132.564103142,hurcan
860.9073213417498,-0.1878741979598999,1463180.720683642,-5320568.689504947,hurcan
860.8866305966345,-0.2069074511528015,1463266.8093467017,-5321004.814506914,hurcan
860.8618619818656,-0.2476861476898193,1463352.8955329,-5321440.939499205,hurcan
860.8450023282735,-0.1685965359210968,1463438.9800331327,-5321877.064901141,hurcan
860.8225897524921,-0.2241257578134536,1463525.0622921078,-5322313.189498492,hurcan
860.7999692921011,-0.2262046039104461,1463611.1422890371,-5322749.313691133,hurcan
860.7771867130367,-0.227825790643692,1463697.2200077085,-5323185.438278827,hurcan
860.7566074837415,-0.2057922929525375,1463783.295668457,-5323621.562866546,hurcan
860.7399179626672,-0.1668952107429504,1463869.3696602532,-5324057.687463998,hurcan
860.7153950501648,-0.2452291250228881,1463955.441199758,-5324493.812051735,hurcan
860.6966549802986,-0.1874006986618042,1464041.5108652562,-5324929.93704422,hurcan
860.6759788070289,-0.2067617326974868,1464127.578463137,-5325366.062436591,hurcan
860.657553551015,-0.1842525601387024,1464213.644218492,-5325802.18743394,hurcan
860.6389398698178,-0.1861368119716644,1464299.708112479,-5326238.31243615,hurcan
860.6144867439237,-0.2445312589406967,1464385.7695611534,-5326674.437428639,hurcan
860.5959605280724,-0.1852621585130691,1464471.8291572062,-5327110.562026107,hurcan
860.5733366925683,-0.2262383550405502,1464557.8864908754,-5327546.686618714,hurcan
860.5509096462694,-0.2242704629898071,1464643.94158184,-5327982.810406697,hurcan
860.5342925507989,-0.1661709547042846,1464729.995011095,-5328418.9346042825,hurcan
860.5155100945797,-0.1878245621919632,1464816.0465621045,-5328855.0596064925,hurcan
860.4968341250386,-0.1867596954107284,1464902.096245517,-5329291.185013444,hurcan
860.4764208931889,-0.2041323184967041,1464988.1438876064,-5329727.310020514,hurcan
860.4556997094717,-0.2072118371725082,1465074.1894575774,-5330163.435827347,hurcan
860.4330926064815,-0.2260710299015045,1465160.232766838,-5330599.561229439,hurcan
860.416252068099,-0.1684053838253021,1465246.2743920449,-5331035.687840898,hurcan
860.3974739481176,-0.1877811998128891,1465332.3141394397,-5331471.815656861,hurcan
860.3788880426849,-0.1858590543270111,1465418.352028244,-5331907.943477686,hurcan
860.3564435650076,-0.2244447767734528,1465504.3876726003,-5332344.070893767,hurcan
860.3359988619054,-0.2044470310211181,1465590.4212724864,-5332780.197909967,hurcan
860.3171275619829,-0.1887129992246628,1465676.4529852427,-5333216.326130672,hurcan
860.292817636248,-0.243099257349968,1465762.4822670063,-5333652.4535418935,hurcan
860.2702014226878,-0.2261621356010437,1465848.5092871485,-5334088.580948255,hurcan
860.2554567207063,-0.1474470198154449,1465934.5348328205,-5334524.709568842,hurcan
860.2310548950398,-0.2440182566642761,1466020.55793831,-5334960.837379945,hurcan
860.2086967725719,-0.2235812246799469,1466106.5788079873,-5335396.964786307,hurcan
860.1823124755587,-0.2638429701328277,1466192.5970392348,-5335833.091378324,hurcan
