velocity_x,acceleration_x,position_x,position_y,class
1171.9236956021537,-0.2262671887874603,2459770.0160362264,-10388257.213559557,gonca
1171.902873127793,-0.20822474360466,2459887.2063235394,-10388897.98031109,gonca
1171.88024673674,-0.2262639105319977,2460004.394348213,-10389538.746657955,gonca
1171.861617608999,-0.1862912774085998,2460121.5805099737,-10390179.512609871,gonca
1171.8407951346385,-0.20822474360466,2460238.764589487,-10390820.278961744,gonca
1171.819972660278,-0.20822474360466,2460355.9465867532,-10391461.045713574,gonca
1171.7972484162794,-0.2272424399852753,2460473.126311595,-10392101.812460616,gonca
1171.7803273356305,-0.1692108064889907,2460590.3043443286,-10392742.580017217,gonca
1171.7596020540939,-0.2072528153657912,2460707.480304534,-10393383.347573891,gonca
1171.7427781662689,-0.168238878250122,2460824.6545823505,-10394024.115540244,gonca
1171.720151113604,-0.2262705266475677,2460941.826597462,-10394664.883101927,gonca
1171.699329299365,-0.2082181423902512,2461058.9965303917,-10395305.651063565,gonca
1171.6805061182722,-0.188231810927391,2461176.1645810036,-10395946.41943002,gonca
1171.661780460809,-0.1872565746307373,2461293.33075905,-10396587.18780141,gonca
1171.646858673428,-0.1492178738117218,2461410.495444917,-10397227.956987219,gonca
1171.6262305847151,-0.2062808871269226,2461527.6580679757,-10397868.725773219,gonca
1171.6036035320503,-0.2262705266475677,2461644.8184283287,-10398509.494154552,gonca
1171.5848775437814,-0.1872598826885223,2461761.976916083,-10399150.26254082,gonca
1171.5602515301448,-0.2462601363658905,2461879.1329412363,-10399791.030517556,gonca
1171.5395269087296,-0.2072462141513824,2461996.286893927,-10400431.798494367,gonca
1171.5188019565087,-0.2072495222091674,2462113.438774123,-10401072.56647125,gonca
1171.494175942872,-0.2462601363658905,2462230.588191717,-10401713.334038606,gonca
1171.4715492239934,-0.2262671887874603,2462347.7353466395,-10402354.101201292,gonca
1171.4545312798364,-0.1701794415712356,2462464.8807997676,-10402994.86957342,gonca
1171.4359028137071,-0.1862846612930297,2462582.024390049,-10403635.6375506,gonca
1171.4132757610423,-0.2262705266475677,2462699.165717625,-10404276.40512311,gonca
1171.3945497727734,-0.1872598826885223,2462816.305172602,-10404917.172700556,gonca
1171.3739223456723,-0.2062742710113525,2462933.4425648367,-10405557.939878194,gonca
1171.3552935517175,-0.1862879395484924,2463050.578094192,-10406198.706660884,gonca
1171.3324719494922,-0.2282160222530365,2463167.7113413867,-10406839.473838668,gonca
1171.3118435299737,-0.2062841951847076,2463284.8425257397,-10407480.240616646,gonca
1171.2892171389205,-0.2262639105319977,2463401.9714474534,-10408121.006989954,gonca
1171.2664935550436,-0.2272358387708664,2463519.098096809,-10408761.773358475,gonca
1171.2438665023788,-0.2262705266475677,2463636.222483459,-10409402.539322328,gonca
1171.2250436520917,-0.188228502869606,2463753.344987824,-10410043.305690996,gonca
1171.2023194080932,-0.2272424399852753,2463870.465219765,-10410684.072054878,gonca
1171.1815944558723,-0.2072495222091674,2463987.5833792104,-10411324.838418834,gonca
1171.1569684422357,-0.2462601363658905,2464104.6990760546,-10411965.60437326,gonca
1171.136146298681,-0.208221435546875,2464221.8126906846,-10412606.370727642,gonca
1171.1153238243205,-0.20822474360466,2464338.924223067,-10413247.137481978,gonca
1171.0965984976633,-0.1872532665729522,2464456.0338829164,-10413887.904241249,gonca
1171.0720693460448,-0.2452915161848068,2464573.141089851,-10414528.67019111,gonca
1171.051344393824,-0.2072495222091674,2464690.24622429,-10415169.436141044,gonca
1171.034423313175,-0.1692108064889907,2464807.3496666215,-10415810.202900536,gonca
1171.011893453334,-0.225298598408699,2464924.4508559667,-10416450.968855478,gonca
1170.9912653646213,-0.2062808871269226,2465041.549982503,-10417091.734410612,gonca
1170.9706372759085,-0.2062808871269226,2465158.6470462307,-10417732.499565938,gonca
1170.9499123236876,-0.2072495222091674,2465275.742037463,-10418373.264721338,gonca
1170.9292842349748,-0.2062808871269226,2465392.8349658865,-10419014.02947693,gonca
1170.9046582213382,-0.2462601363658905,2465509.925431709,-10419654.79382299,gonca
1170.887834664319,-0.168235570192337,2465627.014215175,-10420295.55857873,gonca
1170.867206906412,-0.2062775790691376,2465744.1009358657,-10420936.322934661,gonca
1170.8520603275638,-0.1514657884836197,2465861.1861418984,-10421577.088105002,gonca
1170.8236332542042,-0.2842707335948944,2465978.268505224,-10422217.852056315,gonca
1170.8067873633245,-0.1684589087963104,2466095.3491839604,-10422858.616017405,gonca
1170.7820138460734,-0.2477351725101471,2466212.427385345,-10423499.379568946,gonca
1170.7673135167697,-0.1470032930374145,2466329.504116697,-10424140.143534996,gonca
1170.7488370305637,-0.1847648620605468,2466446.5790004,-10424780.906706175,gonca
1170.724157310162,-0.2467972040176392,2466563.651416131,-10425421.670267547,gonca
1170.7054206943849,-0.1873661577701569,2466680.7219582004,-10426062.433833806,gonca
1170.6848085439542,-0.2061215043067932,2466797.790439055,-10426703.197400086,gonca
1170.6680169856886,-0.1679155826568603,2466914.8572407532,-10427343.961775871,gonca
1170.6473675525526,-0.2064943313598632,2467031.9219775083,-10427984.726151673,gonca
1170.6285754865746,-0.1879206597805023,2467148.984835057,-10428625.491332116,gonca
1170.6078553817015,-0.2072010487318039,2467266.045620595,-10429266.256912453,gonca
1170.5893943375688,-0.184610441327095,2467383.1045600288,-10429907.022097781,gonca
1170.5688548228484,-0.2053951472043991,2467500.161445511,-10430547.787283126,gonca
1170.5483884504777,-0.2046637237071991,2467617.216284356,-10431188.552468486,gonca
1170.525845760737,-0.2254268974065781,2467734.268868932,-10431829.316849234,gonca
