velocity_x,acceleration_x,position_x,position_y,class
2086.6172855247723,-0.2462933957576752,6253521.500255521,-30328608.871657245,berk
2086.59845901476,-0.1882651001214981,6253730.160101423,-30329769.457394358,berk
2086.577536350952,-0.2092266380786896,6253938.817855058,-30330930.043931287,berk
2086.554905641542,-0.2263070940971374,6254147.473345622,-30332090.630063526,berk
2086.532274932132,-0.2263070940971374,6254356.126573116,-30333251.215791073,berk
2086.5116435174805,-0.2063141465187072,6254564.777737468,-30334411.80111879,berk
2086.4910119359356,-0.206315815448761,6254773.426838662,-30335572.386046678,berk
2086.470283161567,-0.2072877436876297,6254982.073866977,-30336732.970974617,berk
2086.449554387198,-0.2072877436876297,6255190.718822416,-30337893.555902608,berk
2086.4268269811732,-0.2272740602493286,6255399.3615051145,-30339054.14082579,berk
2086.4080973361592,-0.187296450138092,6255608.002314848,-30340214.725753885,berk
2086.383467498885,-0.2462983727455139,6255816.640661598,-30341375.310272425,berk
2086.364834879802,-0.186326190829277,6256025.277145086,-30342535.894396,berk
2086.348007333742,-0.1682754606008529,6256233.911945819,-30343696.478929225,berk
2086.325376955138,-0.2263037860393524,6256442.5444835145,-30344857.06305776,berk
2086.300844641493,-0.2453231364488601,6256651.174567979,-30346017.646376863,berk
2086.283920069502,-0.1692457199096679,6256859.802959986,-30347178.230505504,berk
2086.2631912951333,-0.2072877436876297,6257068.429279116,-30348338.814634196,berk
2086.236756882535,-0.2643441259860992,6257277.052954804,-30349499.397548713,berk
2086.217833181189,-0.1892370134592056,6257485.674738122,-30350659.981267903,berk
2086.1952026356917,-0.2263054549694061,6257694.294258386,-30351820.564582404,berk
2086.1763762940627,-0.1882634162902832,6257902.9118960155,-30352981.1483017,berk
2086.153745584653,-0.2263070940971374,6258111.527270574,-30354141.731616303,berk
2086.134918746815,-0.1882683783769607,6258320.140762449,-30355302.315335702,berk
2086.112288201318,-0.2263054549694061,6258528.751991269,-30356462.89865041,berk
2086.0935588841294,-0.1872931718826294,6258737.3613471575,-30357623.48197003,berk
2086.071070158944,-0.2248872518539428,6258945.968454174,-30358784.06528484,berk
2086.0502825726726,-0.2078758627176284,6259154.5734824315,-30359944.648999587,berk
2086.02930710809,-0.2097546458244324,6259363.176413142,-30361105.233114265,berk
2086.012361273632,-0.1694583445787429,6259571.777649269,-30362265.81763859,berk
2085.991495676801,-0.2086559683084488,6259780.376798837,-30363426.402562838,berk
2085.97282201247,-0.1867366433143616,6259988.9740810385,-30364586.987491988,berk
2085.9520125527833,-0.2080945968627929,6260197.569282293,-30365747.572821055,berk
2085.9332500060054,-0.1876254677772522,6260406.162607294,-30366908.158554897,berk
2085.9146093447657,-0.1864066123962402,6260614.754068228,-30368068.744293634,berk
2085.890085956916,-0.245233878493309,6260823.343076824,-30369229.329222914,berk
2085.8695047666283,-0.2058119028806686,6261031.9300273005,-30370389.914152216,berk
2085.8488655154556,-0.2063925117254256,6261240.514913852,-30371550.499081533,berk
2085.8300637637226,-0.1880175173282623,6261449.097920229,-30372711.084815487,berk
2085.8134097565858,-0.1665400713682174,6261657.679261205,-30373871.670959048,berk
2085.7889915351716,-0.244182214140892,6261866.258160358,-30375032.256293125,berk
2085.770408303007,-0.1858323216438293,6262074.835201189,-30376192.841632064,berk
2085.7556207139937,-0.147875890135765,6262283.41076326,-30377353.42778535,berk
2085.7350294013468,-0.2059131264686584,6262491.9842662,-30378514.014738396,berk
2085.7104739298074,-0.2455547153949737,6262700.555313593,-30379674.60128184,berk
2085.68801969783,-0.2245423197746276,6262909.124115563,-30380835.187420543,berk
2085.669282930061,-0.1873676776885986,6263117.691043856,-30381995.773963988,berk
2085.6467750091997,-0.225079208612442,6263326.255721357,-30383156.36010269,berk
2085.6243550945965,-0.2241991460323333,6263534.818156866,-30384316.945836652,berk
2085.601806323692,-0.2254877090454101,6263743.378337499,-30385477.53116587,berk
2085.5793488224,-0.224575012922287,6263951.936272381,-30386638.11609035,berk
2085.560672237441,-0.1867658495903015,6264160.4923396045,-30387798.70141957,berk
2085.5421407674403,-0.1853147000074386,6264369.046553682,-30388959.28675365,berk
2085.51773119019,-0.2440957725048065,6264577.5983268,-30390119.87127825,berk
2085.49901160644,-0.1871958374977112,6264786.148227961,-30391280.45620759,berk
2085.4784898196312,-0.2052178680896759,6264994.696076943,-30392441.041136928,berk
2085.459961122737,-0.1852869689464569,6265203.242073054,-30393601.626071125,berk
2085.4410874892924,-0.1887363344430923,6265411.786181804,-30394762.21220983,berk
2085.4243132476663,-0.1677424162626266,6265620.3286131285,-30395922.799158018,berk
2085.4035008658625,-0.2081238180398941,6265828.8689632155,-30397083.387305852,berk
2085.382842568026,-0.2065829783678054,6266037.407247473,-30398243.97585357,berk
2085.3641172935227,-0.1872527450323104,6266245.943659202,-30399404.56520591,berk
2085.3417538304784,-0.2236346304416656,6266454.477834585,-30400565.153753627,berk
2085.3193990443806,-0.2235478609800338,6266663.009774489,-30401725.74149672,berk
2085.300820817516,-0.1857822686433792,6266871.539856571,-30402886.329244673,berk
2085.278269662426,-0.2255115509033203,6267080.067683537,-30404046.916987713,berk
2085.255772795246,-0.224968671798706,6267288.593260816,-30405207.50432596,berk
2085.2389608253693,-0.1681196987628936,6267497.117156899,-30406368.092473637,berk
2085.2167450954175,-0.2221572995185852,6267705.638831408,-30407528.679416757,berk
2085.1980257083633,-0.1871938705444336,6267914.158633979,-30408689.266764566,berk
2085.175560097859,-0.2246561050415039,6268122.676189989,-30409849.854107466,berk
2085.1529736210564,-0.2258647680282593,6268331.1914873505,-30411010.441045567,berk
2085.132540809081,-0.2043281197547913,6268539.704741431,-30412171.027583737,berk
2085.1138035912973,-0.1873721778392792,6268748.216121791,-30413331.614926424,berk
2085.0892605562667,-0.2454303503036499,6268956.725047846,-30414492.202259287,berk
2085.0688668240764,-0.2039373219013214,6269165.231934529,-30415652.789192166,berk
2085.0463741113404,-0.2249271273612976,6269373.73657194,-30416813.375720195,berk
2085.027714436219,-0.1865967512130737,6269582.239343383,-30417973.962652862,berk
2085.0091911812283,-0.1852325499057769,6269790.740262502,-30419134.549190402,berk
2084.9885827858902,-0.2060839533805847,6269999.2391207805,-30420295.13612772,berk
2085.4207093556383,4.321265697479248,6270207.781191716,-30421455.722963676,berk
2085.8672530968647,4.465437412261963,6270416.367917025,-30422616.309332453,berk
2086.218044694231,3.50791597366333,6270624.989721495,-30423776.895800546,berk
2086.6277589638694,4.097142696380615,6270833.652497391,-30424937.482909653,berk
2086.996043117808,3.682841539382935,6271042.352101703,-30426098.07016211,berk
2087.2985356171594,3.024924993515014,6271251.081955265,-30427258.658200216,berk
2087.6839673598274,3.854317426681519,6271459.850352001,-30428419.246026356,berk
