velocity_x,acceleration_x,position_x,position_y,class
775.4068417925812,-0.187320664525032,388926.1953621143,-1264613.4365757687,onder
775.3898180906153,-0.1702370196580886,389003.73434392334,-1264865.687055119,onder
775.3691845898009,-0.2063350081443786,389081.27126238233,-1265117.93713465,onder
775.348356528995,-0.2082806080579757,389158.80609803525,-1265370.1876141254,onder
775.3275284681893,-0.2082806080579757,389236.3388508821,-1265622.4384935452,onder
775.3124066953039,-0.1512177288532257,389313.8700915516,-1265874.6909871378,onder
775.2915788013911,-0.208278939127922,389391.39924943174,-1266126.9438806751,onder
775.270751236794,-0.2082756459712982,389468.9263245554,-1266379.1971741568,onder
775.2520195011473,-0.1873173564672469,389546.4515265055,-1266631.450472562,onder
775.2330933709121,-0.1892613023519516,389623.9748358426,-1266883.7045756548,onder
775.2064626504159,-0.2663072049617767,389701.4954821077,-1267135.9582643455,onder
775.1877305839635,-0.187320664525032,389779.01425516605,-1267388.21195796,onder
775.1670005474664,-0.2073003649711609,389856.5309552208,-1267640.465651637,onder
775.1462695185519,-0.207310289144516,389934.04558217264,-1267892.7193453766,onder
775.1276349816895,-0.1863453686237335,390011.5583456708,-1268144.972644158,onder
775.1107081462122,-0.1692683547735214,390089.06941648544,-1268397.2267524875,onder
775.0899777789093,-0.2073036730289459,390166.5784142633,-1268649.4808608796,onder
775.0732451711274,-0.1673260778188705,390244.08573878044,-1268901.7349790565,onder
775.0544162381864,-0.1882893294095993,390321.59118040424,-1269153.9895020388,onder
775.035587968347,-0.188282698392868,390399.0947392011,-1269406.2444298265,onder
775.0128583077765,-0.2272966057062149,390476.5960250319,-1269658.4993528158,onder
774.986421651063,-0.2643665671348572,390554.094667197,-1269910.7530616394,onder
774.9674958531236,-0.1892579793930053,390631.5914167823,-1270163.00757515,onder
774.946765155015,-0.2073069810867309,390709.0860932978,-1270415.2620887237,onder
774.9281309489584,-0.1863420605659485,390786.5789063927,-1270667.5162073388,onder
774.909496412096,-0.1863453686237335,390864.0698560339,-1270919.7699309955,onder
774.8886688474989,-0.2082756459712982,390941.5587229186,-1271172.024054597,onder
774.8659388561225,-0.2272999137639999,391019.04531680426,-1271424.2781733999,onder
774.8432095278478,-0.2272932827472687,391096.52963775705,-1271676.5322874046,onder
774.8204792071557,-0.2273032069206237,391174.01168567775,-1271928.786396611,onder
774.7978464115835,-0.2263279557228088,391251.4914703189,-1272181.0401011372,onder
774.7771160442805,-0.2073036730289459,391328.96918192337,-1272433.2938057259,onder
774.7564825434661,-0.2063350081443786,391406.4448301777,-1272685.5471104954,onder
774.7357518453574,-0.2073069810867309,391483.91840536223,-1272937.8004153275,onder
774.7131193835711,-0.2263246178627014,391561.3897173006,-1273190.0533154795,onder
774.6904865879989,-0.2263279557228088,391638.8587659594,-1273442.3058109514,onder
774.6734625537372,-0.1702403426170349,391716.32611221477,-1273694.5595158534,onder
774.654536423502,-0.1892613023519516,391793.79156585713,-1273946.8140254426,onder
774.6357078213669,-0.1882860213518142,391871.2551366393,-1274199.0689398374,onder
774.6091741342522,-0.2653368711471557,391948.7160540527,-1274451.3230399482,onder
774.5904427309014,-0.1873140335083008,392026.17509832577,-1274703.5771449825,onder
774.5678102691151,-0.2263246178627014,392103.6318793527,-1274955.8308453367,onder
774.5469820429064,-0.2082822620868683,392181.08657755697,-1275208.0849456354,onder
774.5281534407712,-0.1882860213518142,392258.53939290106,-1275460.3394507398,onder
774.5053265814163,-0.2282685935497284,392335.9899255592,-1275712.5943509277,onder
774.4826944504358,-0.2263213098049164,392413.43819500424,-1275964.8488464355,onder
774.4639627147891,-0.1873173564672469,392490.8845912757,-1276217.103346867,onder
774.4432320166804,-0.2073069810867309,392568.3289144774,-1276469.3578473611,onder
774.4225009877659,-0.207310289144516,392645.7711645762,-1276721.6123479179,onder
774.4056713495828,-0.1682963818311691,392723.2117317111,-1276973.867258141,onder
774.3811371211387,-0.2453422844409942,392800.64984542324,-1277226.1213589413,onder
774.3564084981061,-0.2472862303256988,392878.08548627305,-1277478.3754500824,onder
774.3375795651651,-0.1882893294095993,392955.51924422954,-1277730.629946029,onder
774.3129481394268,-0.2463142573833465,393032.95053904346,-1277982.8840324346,onder
774.2940220091916,-0.1892613023519516,393110.3799412444,-1278235.1389235274,onder
774.2734853733755,-0.2053663581609726,393187.8072897817,-1278487.3930149192,onder
774.2527550060726,-0.2073036730289459,393265.2325652823,-1278739.6471063737,onder
774.234120800016,-0.1863420605659485,393342.6559773623,-1278991.9008028698,onder
774.2115848739123,-0.2253592610359192,393420.0771358497,-1279244.1536948038,onder
774.1835191417908,-0.2806573212146759,393497.49548776384,-1279496.4053677097,onder
774.1645354945636,-0.1898364722728728,393574.9119413133,-1279748.6578453013,onder
